"","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating"
"95","Bread and Dripping","'01/01/1982'",0,0,0,"Short",NA,"N/A","Wendy Brady, Donna Foster, Margot Nash, Elizabeth Schaffer, Vic Smith",NA
"96","GeisterkomÃ¶die","'27/02/1965'",0.004581,0,0,NA,NA,NA,NA,NA
"97","Deutschstunde","24 Jan 1971",2.3e-05,0,0,"Drama, War","8.1/10","27","Peter Beauvais",NA
"98","Tank Patrol","'16/06/1941'",0.001876,0,0,"Short, War",NA,"N/A","John Eldridge",NA
"99","Nuclear Family","15 Oct 2012",0.305327,0,0,"Sci-Fi","5.2/10","307","Kyle Rankin",NA
"100","Love Thy Neighbor And His Wife","17 Jan 1972",0.25,0,0,"N/A",NA,"N/A","Byron Mabe, Lee Raymond",NA
"101","Die Fledermaus","14 Mar 1948",0.03128,0,0,"Comedy, Romance","7.0/10","76","GÈza von Bolv·ry",NA
"102","Waris","'01/01/1969'",0.001875,0,0,"Comedy, Drama, Family","6.0/10","26","Ramanna",NA
"103","Subtleties","24 Jun 2002",0.00375,0,0,"Drama","4.6/10","5","Jim Knox",NA
"104","Maria","30 Mar 2005",0.160056,0,0,"Comedy, Drama","7.1/10","251","C„lin Peter Netzer",NA
"105","Home on the Range","02 Apr 2004",0.001878,0,0,"Animation, Comedy, Family","5.4/10","15,073","Will Finn, John Sanford","54%"
"106","Three Wise Fools","18 Dec 1946",0.015705,0,0,"Comedy, Drama","6.7/10","286","Edward Buzzell",NA
"107","Ellam Un Kairasi","06 Oct 1980",0.25,0,0,"Drama","5.4/10","14","I.V. Sasi",NA
"108","Mango Tango","03 Jul 2009",0,0,0,"Comedy, Thriller","7.8/10","23","Marianne Hettinger",NA
"109","Titanic","19 Dec 1997",1.4e-05,0,0,"Drama, Romance","7.7/10","856,815","James Cameron","88%"
"110","An Arcadian Maid","01 Aug 1910",0.003402,0,0,"Drama, Short","5.5/10","96","D.W. Griffith",NA
"111","Blood on the Coal","15 Apr 2015",0.176027,0,0,"Documentary",NA,"N/A","Jeff Bird",NA
"112","Rip Van Winkle","01 May 1903",0.000166,0,0,"Short, Comedy","4.8/10","261","William K.L. Dickson",NA
"113","? Ñ‹Ñ†?°Ñ€ÑÅ?º?¸?? ?·?°?????º","'NaT'",0,0,0,NA,NA,NA,NA,NA
"114","Red Rock Outlaw","16 Dec 1949",0.00211,0,0,"Music, Western",NA,"N/A","Elmer Clifton",NA
"115","The Hungry Bachelors Club","31 Aug 2004",3.6e-05,0,0,"Comedy, Drama, Romance","6.6/10","54","Gregory Ruzzin",NA
"116","Scream","20 Dec 1996",6.41865,14000000,173046663,"Horror, Mystery","7.2/10","236,718","Wes Craven","79%"
"117","InfidÃ¨les","'24/10/2009'",1.139961,0,0,NA,NA,NA,NA,NA
"118","Twilight on the Prairie","01 May 1944",0.00531,0,0,"Musical, Western",NA,"N/A","Jean Yarbrough",NA
"119","Dawn Patrol","05 Jun 2015",0.353793,0,0,"Drama, Thriller","4.7/10","536","Daniel Petrie Jr.","0%"
"120","In Transit","23 Jun 2017",0,0,0,"Documentary, News","7.7/10","76","Albert Maysles, Lynn True, David Usui, Nelson Walker III, Benjamin Wu","100%"
"121","Generasi Kocak: 90-an vs Komika","'15/02/2017'",0.163978,0,0,NA,NA,NA,NA,NA
"122","Ox-Fam","'23/10/2011'",0.013125,0,0,NA,NA,NA,NA,NA
"123","Mr. Happy Man","'01/01/2010'",0.014342,0,0,"Documentary, Short, Biography","7.2/10","31","Matt Morris",NA
"124","De Overkant","'12/09/2015'",0.043542,0,0,"Drama, Short","7.8/10","9","Herman Wuyts",NA
"125","The Hitch-Hiker","16 Oct 1953",0.014621,0,0,"Crime, Film-Noir, Thriller","7.0/10","4,646","Ida Lupino","100%"
"126","Plane Goofy","28 Oct 1940",0.00422,0,0,"Animation, Short, Comedy","5.6/10","12","Eddie Donnelly",NA
"127","Crisis in Six Scenes","30 Sep 2016",0.514772,0,0,"Comedy","6.7/10","2,925","N/A",NA
"128","A Man Who Fell From The Sky","01 Jul 2001",0.001875,0,0,"Biography",NA,"N/A","Mark Morris",NA
"129","Loue-moi !","05 Jul 2017",0.910194,0,0,"Comedy","6.0/10","22","Coline Assous, Virginie Schwartz",NA
"130","å?™ä?‹ç•°å¢ƒå·´é»?","'16/06/2012'",0.037229,0,0,NA,NA,NA,NA,NA
